"script_id","imdb_id","title","year","gross","lines_data"
5368,"tt2937898","A Most Violent Year",2014,6,4777777743337777677777457776776745545457730255666777777577777777546332455333574777777737773344346777777577776426447643347777777777434434365777777772
8057,"tt1972571","A Most Wanted Man",2014,18,6054456777732744633576347753144333345325774677733547715344267422242244333262243144235765747477767775352
5342,"tt0120770","A Night at the Roxbury",1998,56,7766777777777777777666677756656777677777777776677647777777777777777760475657776777647543546477777677756777577646544453677765344435776547776665675777777657771
1196,"tt0087800","A Nightmare on Elm Street",1984,68,214412343440667622144203344000234320124454233354200143200004344531430434547313301
6161,"tt0089686","A Nightmare on Elm Street 2: Freddy's Revenge",1985,73,5377647433447417321435554145764631645251
4706,"tt0093629","A Nightmare on Elm Street 3: Dream Warriors",1987,99,"000145553434355620202142434644347643342533431033345223543542233454333234346335354020042573463457724445342"
4702,"tt0095742","A Nightmare on Elm Street 4: The Dream Master",1988,104,"0432540466663641001130130447130534503155343576633453232334370"
4703,"tt0097981","A Nightmare on Elm Street 5: The Dream Child",1989,48,2210232343532030120012022543674024202110321234312344303311331213424346732003443230
7251,"tt0971209","A Perfect Getaway",2009,17,4555774453577777773563575746456757714767777127644665746777344576735433576743
1222,"tt0107808","A Perfect World",1993,65,3736777767656435757777777620477667754777543514777432547667777776737777743637777730047756635577637376666767757556561
4892,"tt0091867","A Room with a View",1985,51,123420013654523266202600000252233422133547763160110200544004316136610012230014314512
6822,"tt0405296","A Scanner Darkly",2006,7,777777444414264477777777567762317777777777764777777777777777762143343246776454477777777777777777730434726477773
633,"tt1019452","A Serious Man",2009,10,1456767771566776776457777777776355454466743477477756775667777556777677777777777757777577
4961,"tt0120324","A Simple Plan",1998,30,677777777742445777736754677337757246557757777777647777646775532316467777777740
4963,"tt1315981","A Single Man",2009,10,6777753435777777777753665752556777777777434233434343377767777767777777773
1455,"tt0281358","A Walk to Remember",2002,61,576515574753777344245644443353613434434354442735764454453433357645766777777723477777335777775463737773
8682,"tt0212720","A.I. Artificial Intelligence",2001,120,4654434433443434444767773443476357753343434775353667747777777777777777775366541
6034,"tt1826590","About Last Night",2014,51,76341733145225312344206777434775075433444644333440507753434320554343536153457546745534365343777620434447444202334553246753353154442433577664306554302454733324361
642,"tt0094602","Above the Law",1988,40,777765775777264454677525545777567437757677733345776733777777777776
1545,"tt0118548","Absolute Power",1997,94,55435556334567777544346777777777777734353434364444453554466776777777445543555543456777753434777777777777773344433445544444455446677677777643
1550,"tt0109040","Ace Ventura: Pet Detective",1994,150,7746766223346557776677776556444434655553343247775533464344337777545577475572553655
6407,"tt0268126","Adaptation.",2002,33,54345773727747776754244533314343473767754456642027653274444646656774777747777367664434534345410243333334743453365
3805,"tt1091722","Adventureland",2009,18,55774444677637777744777776655545557774324364444343465764434443353204777424144437777357634574324577571577337646455477435373332134777777777742
1559,"tt0118564","Affliction",1997,11,4435377534476654536775577777774446777777777777646744333247366663577777775776775573443676533344452675344467544466654545775577777775346777777777777736753334246456664477777775776776474343677532435362572
1564,"tt0088683","Agnes of God",1985,"",430000000000000000000000000001100000000000131100000000000000000000430000000000000344000000000000000000000000000000134000000000000000443000000000000000000000000000110000000000013110000000000000000000043000000000000034400000000000000000000000000000013400000
647,"tt0118571","Air Force One",1997,327,7757753777600005335677765764165635674354444345567753575576377776575776777576467357665375757776676664573
650,"tt0083530","Airplane II: The Sequel",1982,"",77477777646456443344777773545247341543574333767724336640321777644357647775564544454457666636
648,"tt0080339","Airplane!",1980,269,44547463464434256676332013423667424223335577657774243277646677656447764763
1571,"tt0103639","Aladdin",1992,454,77776776467763447534345445367777767677777677766544434333374576765677765576765647777677646776344753434544536777776767777767776654443433337457676567776557676564
8683,"tt0375173","Alfie",2004,18,7777645314456777765677667765777776776456776775464577757775756
653,"tt0248667","Ali",2001,89,7777777777775343436777546477777777773477565575777777777767777767777777433677776445577633377777777774
3816,"tt1014759","Alice in Wonderland",2010,368,1100000002400334236022343465376546442100553021354317135312024331302335344221322221
1576,"tt0078748","Alien",1979,6,65773356777765465577445544467765667354543655676666443464534336643575656535446744522444464675343340414131534431223310
652,"tt0094631","Alien Nation",1988,53,77777777777777777777777775334777777777777346776567776
3818,"tt0118583","Alien: Resurrection",1997,90,77667774545576657774764520004666657757356764674334634362760422354455535313542201300332024564444644150
1597,"tt0090605","Aliens",1986,199,2232321260543464666623561356545211013255663544345234441001343564434553135343544231024332122323212605434646666235613565452110132556635443452344410013435644345531353435442310243321
7235,"tt0758730","Aliens vs. Predator: Requiem",2007,52,7777513767733677765025555456677744350243577537436737341247562362
1582,"tt0103644","Alien³",1992,116,756534345657776774435446665577776677334675543643467454446754747754566743744342435475447776635344200
1603,"tt0881891","All About Steve",2009,39,"00311047732011344234343332751247232026027331066454636555131432355574312237445467566637637774302303"
3824,"tt0847214","All God's Children Can Dance",2008,"",3242343533324444177767777533347777742413263751355354214141232336775
6157,"tt0490076","All the Boys Love Mandy Lane",2006,"",445413402563245637033126002102661353352330114444653423
7583,"tt0074119","All the President's Men",1976,"",77777775777777764777777777774477777777777777665774425347777777777777777777767545677777677773
8230,"tt0149624","All the Pretty Horses",2000,25,577777777777777777777777577777777777777777777777774624344157467777777777777777777777774251233343477777777777
1606,"tt0181875","Almost Famous",2000,52,100022412222157443312057777634477567763422323767103455675354542777776757777777777775444577537777777775667765647677666677777775332375100022412222157443312057777634477567763422323767103455675354542777776757777777777775444577537777777775667765647677666677777
1609,"tt0369226","Alone in the Dark",2005,6,67766566441654334256557464764354456455562677456776566643265343416646745575444455555555367734
664,"tt0086879","Amadeus",1984,"",777774334367777756777777777774434225765433352676777764364443347247367777777744546767777555674435335233777777777777777777777774677777536777625577634454477777777737777777763125
1613,"tt1129445","Amelia",2009,16,465344532002542244254212431335115453545213442002545434444003364333200252243345344253354545331535143337561563444540003541343273122512253116444553313522003545434443004454243100351334345344253353654332434243346640
5803,"tt0211915","Amélie",2001,51,"0000311103444701300043441413233776230073334577314442364431343"
1615,"tt0169547","American Beauty",1999,222,5652774244101432430257710233257655611004534577777737754314544435524317763452423364442345774321574332534675652775235100442430247720223347656521003624577777746763414534435533407764443332455433245775231474423443672
665,"tt0765429","American Gangster",2007,164,77777777777744577777777763355777777564467777777777677637777776735367777775566554457777765777457777777773
7955,"tt0080365","American Gigolo",1980,"",4454342444377777643452434544326777644244437777424363434355777777777336447777614333447777773734
666,"tt0069704","American Graffiti",1973,565,777654375777776767655437326775344657433233346643445443433453547725357777767343343777775533335555375577766755334357733675657543577777663677767
5805,"tt0120586","American History X",1998,12,6667777777777777665736746775755776366535237775526365554335777677776577266676356675763576565437774377773
1628,"tt1800241","American Hustle",2013,160,636646777544245435433554543523567744342577577777760676745777774333255234247777764377774554354366337667777711301776333467757777775566776445543474346656777777566477757743
1631,"tt0022626","American Madness",1932,"",67777533777546677773577377777702543357534347534343467367744576657775777567776434477777776663777777777756756634677766677776336776456777744773777777206433476343375443434574577535776477766776577774343777777767636777777777657657426777763
1634,"tt0244000","American Outlaws",2001,20,7777777777777757666545577766656767765635773576544645774677777777777777767777777777777777444777777777777777645777445777777777767657674
1635,"tt0163651","American Pie",1999,174,6554774077777777775244676536214777777777543647745754426734677653466757776344454374443333443335577454457557645443443334554677665547731777777777751546764461247777777775346477457534276446776443766677754444444743442344333455773553675575554433443345546774
1639,"tt0144084","American Psycho",2000,24,77767343344463474343433334437777777667777647767777677777777566577777743573355344353544226777451323345434477774334577777777674334345543744343433334377777776677776477677776777777775674777777534743462534444443257775423233444434777753335777772
3834,"tt0101327","American Shaolin",1991,"",7777777777777777777777777777777777777777777777777777776677777777777777777777774
7413,"tt2179136","American Sniper",2014,372,7777477740033177777400677766501047777777773477771677730221
1643,"tt0305206","American Splendor",2003,8,327775677777774777777764335334343335477765425356567635767646777333266476344257765777777747777777753335343442434677746325457567536766656776233374665441
7716,"tt3316948","American Ultra",2015,14,535454434321133333434467355257774456674433563234577776426474455135464354342436353525537775554465645
5373,"tt1602620","Amour",2012,"",44446733533424353424324635543531534452646513765457345444340
3807,"tt0050105","An Affair to Remember",1957,"",7535434545334443756546560536634443533414432376500015335121246535350
674,"tt0082010","An American Werewolf in London",1981,"",777776465476757674677777731345777567774413233367744343447777777433434777557654573625534367633344434554567777751
3838,"tt0118604","An American Werewolf in Paris",1997,50,777543344777546775343434452531147734434527745665746653355776673345454645777776
1650,"tt1174732","An Education",2009,14,3341036223100023334621013230003763312332243322002112022031310001145444500000000416213242000033100005530123461000002441026323100013335531003330002764222332233323002103022030410001135453600000000325304233000033100004630122462000000
4738,"tt0084434","An Officer and a Gentleman",1982,384,77777777777777755776217565756433333430044367765734344577777577733467733003524463226755347677777743423173676662
8219,"tt0078444","An Unmarried Woman",1978,"",4420000000034113432204453234000010043204421200020000000010135433000114435461003320013554246562612343501412322430034433241
678,"tt0289848","Analyze That",2002,48,77777745457777777777777777654367777377757777777777777577777777777247777636677554577777777777777777777777777777777777646777777477777777777777777772
1652,"tt0122933","Analyze This",1999,183,775477777777776567777777777777777777436323777777777444577777777555777776656655776676477773665455764677777777777777777777777777777777777457547777777777777774775477777777776567777777777777777777436323777777777444577777777555777776656655776676477773665455764
676,"tt0118617","Anastasia",1997,110,"04612777777777777757777777777774357777667777774"
8699,"tt0052561","Anatomy of a Murder",1959,"",77772335747777643323352346776535477625774443367777777777777777756777777777777777766777776777777777764477767664664673645577677777777777777735457555554674
7630,"tt0357413","Anchorman: The Legend of Ron Burgundy",2004,117,77777777765275577765457547465247344774477546577343577467755444747751666777777446645564
1655,"tt0225071","Angel Eyes",2001,36,146743522342046554443334423544434334630021333433433434343313315435643544445335533334343451223443343241243533000000165110242034146743522342046554443334423544434334630021333433433434343313315435643544445335533334343451223443343241243533000000165110242034
1657,"tt0808151","Angels & Demons",2009,154,"03777777774267777574477776664565464534435566765665566757647656777577746777776645635776675255667777770377777777426777757447777666456546453443556676566556675764765677757774677777664563577667525566777777"
3850,"tt1313092","Animal Kingdom",2010,1,7775455536777635775666554563577216334212577777777777777752476532457677575365557577755547566645477765677743337626477677565451
1659,"tt1781769","Anna Karenina",2012,13,55447777740235676775434100236333454544451333443335771234333765335453442676434454365543740563324353454252343324233103434440450
682,"tt0075686","Annie Hall",1977,152,74577774435555675334353434344333334564344343334343434343434343434343434343434343444333426223433434344676434343433446753433534334334577774557777555344434664343672
1667,"tt1521197","Anonymous",2011,4,77777777777777743433477777677771467777643652334577772677777777753764467773777122777777777767534357476774
5376,"tt1431181","Another Year",2010,3,577300000000000014343761222322032132121333300123044763432122464365635555457655576564545777777751231122212332344331223053344332343344533423434543143322253443331132133212333010131424130014455657775675465664735676755765557343333324343333232430000330334333343
1669,"tt0218817","Antitrust",2001,16,6535663777774376667777757734557533356777456764534677777763433524355753433445445467764324477756777555746677777444663777774466667777757744457542446777456765444577777763442533355754334444536367773333477756777555746677772
1671,"tt0120587","Antz",1998,168,73100674444457775777776535744453433343433545353655664642462747642004763443577757777774456543544333434334544445556745532726653
8703,"tt0146838","Any Given Sunday",1999,129,7777577577677777777475772277547564777775224433577777574777610053345777777777777647777757764477777777777777777777757777777774544462423577777767467634677777777765765
1676,"tt0078788","Apocalypse Now",1979,16,777777777777777777777777777777777777777777777777777777777777777777767777777777777777775764342367777777777777777777777777777777777777777777777777777777777777777777777777777777777777777767777777777777777766664332477777777777777777777771
8194,"tt1772240","Apollo 18",2011,19,777777777777777777777777777777777777777777777777777772
1682,"tt0118636","Apt Pupil",1998,16,777777777777777777777777777563553577777777777777777777777777777767777777755763757777777775775777777776576565675777777777777777777777777777777777464544577777777777777777777777777777767777777746754667777777766766777777775675665675777775
1684,"tt1764183","Arbitrage",2012,8,47645434467775433676344344447777777735777777744367777777712477777777777765447577764434477777777777775200177777777777766777777775334343365
1689,"tt0106303","Arctic Blue",1993,"",666677777774567763473677774443777777744677777777767777777777656775367677755457775775
1691,"tt1024648","Argo",2012,148,6776777777775777776777777777777776762777777777767766757757557653767767667777577746776
7800,"tt0137363","Arlington Road",1999,41,6464477777777774547777545335666776777774373434441113547777533333777777777777777777777771
1694,"tt0120591","Armageddon",1998,374,7777743477574777776777766777774577777573677776657666777777777677777777777775765
3862,"tt0913354","Armored",2009,18,77777777777777777777777777777777777777777777777777777777777777777777777777777771
1696,"tt0106308","Army of Darkness",1992,24,7746756777777777765667777777467567777777777655777775
6605,"tt0364955","Art School Confidential",2006,4,7777777677145371575777657553333342436777466657555521775545545777634353675465777740
1700,"tt0082031","Arthur",1981,298,777777777777777777777777777776444345777777777764777777777777776777567777777777734464775
6037,"tt1430607","Arthur Christmas",2011,50,676565777777777777767774676663
1702,"tt0119822","As Good as It Gets",1997,280,777777770231337724777647435676777442345324334427777334720135765433423054543645555734443354435645467753577534335777777761222247634777557344776777342355233434427776344710235765334323055543555555724533453445645377743677443433
1705,"tt0112401","Assassins",1995,60,7777777777777577777777777760054365325423713343432333343434343543451423432544434344333334334343256653477774777777777777777777577777777777772027165334530732434342333334343435434352332532444443435332433433434237564367775677776
1710,"tt0132512","At First Sight",1999,38,"034433445543354433443433632014434233343304434563543324322665353422444325574446535336753563535434547644345763377776366564422434344344434530353433546343534335343426320234433324333143436635333343136653443224444156743466344367445635344436476343557534777754575"
3872,"tt0783233","Atonement",2007,64,230143104334364543546755543200024332220023437753345477757761000000146442002452133210
5378,"tt1322269","August: Osage County",2013,40,774321350000000002333323113422421012001112110021210000004343332730100000000444310017325777434342244343171122432232313002122023101100000000000001431000044244000015351113220433000000000000000000000
698,"tt0118655","Austin Powers: International Man of Mystery",1997,102,7577567746764364776644575757000243655457753343375565433533566556435345646652566
699,"tt0145660","Austin Powers: The Spy Who Shagged Me",1999,351,35676457776544377777436444366776434443274435746445555442362556566753531
1716,"tt2114461","Authors Anonymous",2014,"",643644652253576652553340003457511334567575677543446347345453036624456666454322314000254373425423324743774003
1717,"tt0174480","Autumn in New York",2000,61,32467532213325434544034433203421421037753224243343333267543440434320006740577433334335334644243376334344437333334445323676232123344435450244423024314120277632233343334323576433503434200057414774343334344336452333763443444274243334460
1718,"tt0499549","Avatar",2009,882,77777774344464457343324234364433534457742623247464315641475525432227444643573547563634643367654666775777777777744444555375334224252554425254477526314275553245514656245322356255535653566626437343576645667766774
706,"tt0099077","Awakenings",1990,107,7777674774577754377745777745665567777777733535234633454477777737777777754441464666677771
3879,"tt0491747","Away from Her",2006,20,4244222222231511212223203314332213324541333242443323433233443342232233310315434333224404221
5170,"tt1176740","Away We Go",2009,10,33452343403463424524555555344342433342231025335434133433200003333643434322245120344443354445234774423774534034657743775777636344332433
1727,"tt0449467","Babel",2006,45,677777763102410234543342433177775712527755666617656477775723767777724552375646435665667474442433477777777777777524124432435667644367477777577777774301240034543343352147777551335766557544765467776660667777761645066565534664676656433443267777777777777733222
707,"tt0086927","Bachelor Party",1984,99,25666777777600003354515576751776057723774177773077766777777770277775276777777023044375
7856,"tt0088763","Back to the Future",1985,517,77777777740147777777777776314456777775477557777654577777734425755667777777775575
3881,"tt0096874","Back to the Future Part II",1989,258,576777777757437777300447477767777777777777777777777776777777777677777555
3882,"tt0099088","Back to the Future Part III",1990,180,576777777777777741356574777777444577777777777677777777776536766546777767764765646
1735,"tt0101393","Backdraft",1991,160,777777734577734577777777777767657777752476746667746777674777777777776433467777467454445757774367774477643444777777777777777777777747777776445776346777777777777675677777434767466677467776657777777777763433777773774534467577734677735776344447777777777777777
708,"tt0112442","Bad Boys",1995,131,76653455666753576762000447566634434443344433567455433343344343566764424355754543634334436475566545662243554664244565653
1739,"tt2350892","Bad Country",2014,"",54677776777777777777777715777777777756777777677777777777777777777767777777777777777777774
1740,"tt0047849","Bad Day at Black Rock",1955,"",77777777777777777777777777556777777777777734434777777777777777777777777777777777777777775343436777777777777777777777777777776557777777777777444346777777777777777777777777777777777777777772443357774
712,"tt0103759","Bad Lieutenant",1992,4,742124367617427
7897,"tt1034010","Bad Meat",2011,"",765775005355417424424052464423762343467542557777557645
1744,"tt0307987","Bad Santa",2003,86,22577777760077776777777530777777763637766776315677777710577767777775505777777654377757763
1746,"tt1284575","Bad Teacher",2011,109,62212310000000411003442000400303434014210213300000022132413211123220123300243432515320042245344425434214431312527330
1747,"tt0069762","Badlands",1973,"",574434364452323337777455211475654547703524652777441323335664767777777676574434364452323337777455211475654547703524652777441323335664767777777676
714,"tt0215545","Bamboozled",2000,3,777756777434647300277777757774336622676766777667453057634277577754577766743342467763477773577543473443677774635
3892,"tt1423894","Barney's Version",2010,8,775674377772657775342524777775577467743427442436564235445774247777777777555343456665772454335737666324455634442662653776
716,"tt0072684","Barry Lyndon",1975,"",76443465567777767777775734767767777777777777777777777777777777777634334447757775477767777667766736477
715,"tt0101410","Barton Fink",1991,12,645777777777777777777777774447777777646555577777777777777454333547777777777777777777777777777777777777
1759,"tt0264395","Basic",2003,38,36646566644447776567777666733436647667577676766767574677556435656766777777776777765436556674453475664536733354665667673567443577743466767674
718,"tt0103772","Basic Instinct",1992,247,77774442344675673344322334332237764323672343145754665537433233343643337777643433336762543323764346776265442
1762,"tt0115632","Basquiat",1996,5,5655434574445467777745235777754433016667774356436567577776767777777776455777777777735744777756544346644455677777361367777444410275777734554456675777767677777777754567777777776457357773
725,"tt0096895","Batman",1989,550,7747763476646547754434556353445443361104455775443677776555652
1771,"tt0118688","Batman & Robin",1997,202,7777777547567277322442116567775040457777777745127557777777777577777774574763763324330256677651304677777777441375577777777773
1773,"tt0372784","Batman Begins",2005,278,4777776777777202777777755777767777777724777777277776432144577754057566745734740774777776777777301777777755777776777777724777777367776442045477755047656746643750672
1775,"tt0112462","Batman Forever",1995,368,7777777775277777775577775433454467777306777742377567457656777477336677577777742577777777752777777755777754334544677773067777423775674576567774773366775777777425
722,"tt0103776","Batman Returns",1992,341,65575547777544677777543765775477534434755677777777774467777753
6053,"tt1532958","Battle of the Year",2013,9,7777777777777777777777777777777777777467777777777565767777776777777745777777776435777777657777777632
9245,"tt0185183","Battlefield Earth",2000,34,67777777777777777777777777777777776777776
3902,"tt0094715","Beaches",1988,120,1000006045212624743211441362001630340030000000000020
1789,"tt0118689","Bean",1997,85,7777434635433542453776775345777776777764466657577376344544377757777534544443443453677676434777776777774465747577467343545457754
5380,"tt1365050","Beasts of No Nation",2015,"",777777767747646367777777777777777777777777777777777777777777543677777777777633
1792,"tt2125435","Beasts of the Southern Wild",2012,13,5000024505675634744540664663364446260335100221
9254,"tt0101414","Beauty and the Beast",1991,452,32457533343777677744336344464676777322444655534464544744577354457345653455435644745372
729,"tt0115641","Beavis and Butt-Head Do America",1996,124,77777777255775433134577667677777777765634477777773
8031,"tt0115644","Bed of Roses",1996,74,"005521412205102664353346230003653302203441022211124343114"
3907,"tt0389790","Bee Movie",2007,160,65577755457777777557777777777777367555543443443433457777766344334345777777776466776544345357764456776347775677755557764334434345464556334455456546
3909,"tt0094721","Beetlejuice",1988,155,4320234543335344341245343453342223004643255222332210576231322223232356546312142523234345324144323341302434325534475574302230
5381,"tt2209418","Before Midnight",2013,8,777777433523342353432323346433432572677620465255422233443224324224433353252345436324334343335472354133233233432232235335334554463350
8727,"tt0112471","Before Sunrise",1995,10,43444342434344335657534343432443303343343433342434343343434343333443443434
6916,"tt0381681","Before Sunset",2004,8,55756435234425235331524364343315224252342432424342235143432
8633,"tt1980929","Begin Again",2013,17,764434446777776344346333654443334443441654453343433432534353424343477634443343456775554410024424344445361004254344344343343347574434334266
1796,"tt1532503","Beginners",2010,6,777764777747735777657677577743742353257777744335637777777632444677734664467777775535236316775231
734,"tt0106379","Being Human",1994,3,777777754477777777777655757774435457724433046777777537777777775467777657777777777777777777777777200021613300153
1801,"tt0120601","Being John Malkovich",1999,39,344243666554423434763564334346657443442466243335233345434224333424455766664313443424666566426653567773534342
1802,"tt0078841","Being There",1979,"",334336766657566576777746443244517777447754676457777747777777533454674474377766545545773355515643677677777775662247752334333677566665657677774734333460777744775467735777774777777753436367447446776654645477434552473367767777777566233775331
5383,"tt2404181","Belle",2013,11,42253350014023555224122447763324770233123476000322423544300124377150003424424350200132000054310214477457654
1807,"tt0120603","Beloved",1998,42,400000003444443333322143244334320323102410000122331434351000000000003610123343433310334501677200104344000144434467772777777200000000000001433443400000003444443333322143244334320323102410000122331434351000000000003610123343433310334501677200104344000144434
3918,"tt0276816","Below",2002,0,777757447556777765577775456745467655777774777777577767777577777676777567576556636477766543
3919,"tt0065462","Beneath the Planet of the Apes",1970,"",77777633445247577576766577777772
1809,"tt0106387","Benny & Joon",1993,48,7673477765767645765464766457676433443343434474345555776343534335777735756476635776667675467555557654667754343344334345643464657753444343367776367452
3920,"tt0442933","Beowulf",2007,103,777763467777776674356776636477573243577777444226737774573776057062
3922,"tt0402057","Beowulf & Grendel",2005,"",77777777777777447717777777777777775413577777772343426777776434777777423777634
1811,"tt0094737","Big",1988,243,776774413777665755677777422766777774777457534143343434343547777734375434345534357754345733434347776774314777665755677777323766777774777457533234343343434457777643475343436434457753436724343355
6910,"tt1126590","Big Eyes",2014,15,20075643631367764657554662321734567653565425630041433265543266734203476567773
6607,"tt1228953","Big Fan",2009,"",6677347777537753433333453577767777772
740,"tt0319061","Big Fish",2003,95,67437751356777756505334204777031002444654723330000124315777762
8095,"tt0099141","Bird on a Wire",1990,146,67646316447546631335364465
5385,"tt2562232","Birdman or (The Unexpected Virtue of Ignorance)",2014,45,5534636777745277777677777755553257732235475763442435777725543554325452102253344333444777777777543435234351564334553427757234443556444410
1831,"tt0188453","Birthday Girl",2001,7,775543775774476777777777776577777566667441304433345444443434332432334334534334266774544775764576777777777775677776665767422214433354444443434323432334335434334272
8237,"tt0454082","Black Christmas",2006,21,10000000000000014632101042000000000003200
7243,"tt0265086","Black Hawk Down",2001,167,777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777
744,"tt0096933","Black Rain",1989,99,7777777777777777777777777557777777336777457777542234477775427777777677574
1838,"tt0462200","Black Snake Moan",2006,12,5546334333426337602131554666333777753677434355554343345677767773564667777774465324300225674424324457646445363755455334342435346702122463675433677753677434445554434344677767774464667777774555424300134675333333457647346363660
1841,"tt0947798","Black Swan",2010,117,"000075730023561003537424123444001477215410000003225442002142340000002452550"
1843,"tt0120611","Blade",1998,129,344534566776454467134455365545766655574434753777764237777245443567632534645534472446677655445732444635555477575556543376367777342677734535346773254274562
1846,"tt0187738","Blade II",2002,122,26677777775563657666466576547765257677377657656754426675767775774745356777777755645576673666674567653476773776576567544356766677757747452
1849,"tt0083658","Blade Runner",1982,4,7777777777745364447426773447777743332577777767777777753647467772333666777455777777367427577777777777777776544643573367634577777243227777777677777777445573777623336767764657777772764375777773
3936,"tt0359013","Blade: Trinity",2004,73,3627677757777664757563656734447777677525375615424355654743042
7935,"tt0445934","Blades of Glory",2007,149,77573576777777777775777777464577535777457677746777777777753435665335737764667467767777
1853,"tt0124298","Blast from the Past",1999,45,422563344424664443446656767755554465777643424367774375756776455333434233357763424334243434343434346554557467743465655446352343534745446655433434342534676552665554435334224344763306543444335744434456657677655544656777434333577762657657774553334343233567734
8301,"tt0071230","Blazing Saddles",1974,558,777777777767677777777677735524776777777757774
